Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
5092469481,GZH7067,NY,PAS,07-10-2016,7,SUBN,TOYOT,V,0,0,0,0,,0,0,0,,,0143A,,BX,,,ALLERTON AVE (W/B) @,BARNES AVE,0,1111,D,T,,,,GY,,2001,,0,,FAILURE TO STOP AT RED LIGHT,,,
5092451658,GZH7067,NY,PAS,07-08-2016,7,SUBN,TOYOT,V,0,0,0,0,,0,0,0,,,0400P,,BX,,,ALLERTON AVE (W/B) @,BARNES AVE,0,1111,D,T,,,,GY,,2001,,0,,FAILURE TO STOP AT RED LIGHT,,,
4631633384,AVM7975,NY,PAS,03-09-2017,36,SUBN,GMC,V,0,0,0,0,,0,0,0,,,1211P,,BK,,,WB LINDEN BLVD @ LIN,COLN AVE,0,1180,B,T,,,,GY,,2010,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
8196557280,GWB7054,NY,PAS,01/18/2017,70,SUBN,TOYOT,T,59590,8590,57790,20170105,109,109,109,364933,T401,J,1217P,,Q,F,35-11,Prince St,,0,408,j3,,YYYYYYY,,,BL,,2015,,0,5,70A-Reg. Sticker Expired (NYS),,,
4631184358,EXZ9820,NY,PAS,03-02-2017,36,4DSD,HONDA,V,0,0,0,0,,0,0,0,,,1207P,,BK,,,WB FLATLANDS AVE @ E,100 ST,0,1180,B,T,,,,GR,,1997,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4007039033,GZE1511,NY,PAS,03-06-2017,5,4DSD,TOYOT,V,0,0,0,0,,0,0,0,,,1037A,,BK,,,NB UTICA AVE @ CHURC,H AVE,0,1111,C,T,,,,WH,,2001,,0,,BUS LANE VIOLATION,,,
7662736064,83485MH,NY,COM,07/20/2016,48,VAN,FRUEH,T,0,40404,40404,88888888,26,26,26,359294,T103,L,0101P,,NY,F,2164,Frederick Douglass B,,0,408,e9,,,,,BROWN,,2016,,0,01 7,48-Bike Lane,,,
8539360652,GEH9367,NY,PAS,05-04-2017,70,4DSD,DODGE,T,31830,5430,5580,20170325,78,78,78,347470,T301,E,0602P,,K,F,433,Dean St,,0,408,j3,,YYYYYYY,,,GY,,2011,,0,19,70A-Reg. Sticker Expired (NYS),,,
8293544302,FYP7892,NY,PAS,10-03-2016,14,SUBN,TOYOT,T,14380,35980,36030,20180520,61,61,61,357808,T302,Q,0814A,,K,O,2623,Avenue P,,0,408,c,,YYYYYYY,,,WH,,2016,,0,CC1,14-No Standing,,,
8525962235,HHM1058,NY,PAS,04/20/2017,21,4DSD,ME/BE,T,35720,34020,22020,20180606,43,43,43,363937,T201,I,1238P,,BX,O,1684,Gleason Ave,,0,408,d1,,Y  Y,1130A,0100P,WH,,2015,,0,3,21-No Parking (street clean),,,
7405998999,HDM2727,NY,PAS,08-11-2016,70,VAN,FORD,T,73120,26580,73890,88888888,42,42,42,352973,T801,B,0246A,,BX,F,1011,Washington Ave,,0,408,j3,,,,,WHITE,,0,,0,K 21,70-Reg. Sticker Missing (NYS),,,
8463518175,56989MB,NY,COM,12/20/2016,38,VAN,CHEVR,T,59990,12790,12840,88888888,112,112,112,361797,T402,B,1130A,,Q,F,93-54,Queens Blvd,,0,408,h1,,Y,0830A,0700P,WHITE,,2011,,0,03 4,38-Failure to Display Muni Rec,,,
4635298826,KKG4708,PA,PAS,06/19/2017,36,SW,CHEVR,V,0,0,0,0,,0,0,0,,,1107A,,BK,,,SB FLATBUSH AVE EXT,@ CHAPEL ST,0,1180,B,T,,,,,,2002,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
8520357982,FXG2663,NY,PAS,05-04-2017,21,4DSD,HYUND,T,18820,10110,10010,20180603,19,19,19,358643,T103,X,0907A,,NY,F,325,E 92nd St,,0,408,d1,,Y  Y,0900A,1030A,GY,,2008,,0,1,21-No Parking (street clean),,,
7811876425,655790,RI,PAS,10-07-2016,21,SUBN,FORD,T,18910,27790,24890,20180288,23,23,23,341195,T103,B,0953A,,NY,F,114,E 97th St,,0,408,d1,,Y  Y,0930A,1100A,OTHER,,0,,0,CCA,21-No Parking (street clean),,,
7722852804,BAS3436,NY,PAS,01/31/2017,31,SUBN,HONDA,T,34350,10610,10810,20181114,14,14,14,359588,T108,A,0541P,,NY,F,252,W 29th St,,0,408,l3,,YYYYY,0800A,0600P,GY,,2017,,0,1,31-No Stand (Com. Mtr. Zone),,,
4634732270,FTW2676,NY,PAS,06-05-2017,36,PICK,CHEVR,V,0,0,0,0,,0,0,0,,,1223P,,QN,,,NB FRANCIS LEWIS BLV,D @ 42ND RD,0,1180,B,T,,,,MR,,2008,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
8483805662,41006PC,NY,IRP,01/21/2017,47,TK,FRUEH,T,10610,34470,34490,20170430,14,14,14,362611,T102,I,0709A,,NY,F,462,7th Ave,,0,408,l2,,Y,0700A,0700P,MR,,2015,,0,99,47-Double PKG-Midtown,,,
8530700028,26796ME,NY,COM,02/22/2017,78,VAN,FORD,T,30620,18520,38620,20180228,43,43,43,358860,T801,A,1114P,,BX,O,2262,Ellis Ave,,0,408,k6,,YYYYYYY,0900P,0500A,WH,,2011,,0,A,78-Nighttime PKG on Res Street,,,
8520272381,ZWJ55R,NJ,PAS,06/17/2017,24,SUBN,HONDA,T,35310,15710,11710,88880088,20,20,20,362195,T103,S,0447P,,NY,F,172,W 77th St,,0,408,d5,,YYYYYYY,,,GREY,,0,,0,C,24-No Parking (exc auth veh),,,
8313523440,247UVH,CT,PAS,08-11-2016,20,4DSD,AUDI,T,18690,10210,10110,20160888,19,19,19,332086,T103,O,0824A,,NY,F,234,E 85th St,,0,408,d,,Y,0800A,0600P,BLACK,,0,,0,17 7,20A-No Parking (Non-COM),,,
8267541020,84709MG,NY,COM,08-10-2016,20,VAN,DODGE,T,10410,18490,18510,20170430,19,19,19,356300,T103,CC,1032A,0943A,NY,F,945,5th Ave,,20160810,408,d,,YYYYY,0700A,0400P,WH,,2015,,0,24 7,20-No Parking (Com Plate),,,
7079846778,GMA9436,NY,PAS,12/23/2016,40,SUBN,TOYOT,T,0,0,0,20180112,113,113,113,362640,T402,L,0627A,,Q,I,W,Bedell St,300ft N/of 134th Rd,0,408,e2,,YYYYYYY,,,RD,,2002,,5,R 42,40-Fire Hydrant,,,
1413479741,60376MD,NY,COM,08-11-2016,46,DELV,MERCU,P,5430,10730,10780,0,68,68,68,957457,68,0,0437P,,K,F,8301,4 AVE,,0,408,F1,,BBBBBBB,ALL,ALL,BROWN,0,0,-,0,,,,,
